year,node1,node2,node3,sign12,sign13,sign23,balanced,actor_load_mean,actor_load_min,deg_mean,tie_btw_mean,tie_emb_mean,triad_overlap,triad_id,triad_log_cinc_mean,balanced_prior,target_year,balanced_t5,outcome,frozen,era,trade12,trade13,trade23,tie_trade_mean
1864,255,269,273,-1,1,1,FALSE,0.3577005868007925,0.35357191358024687,9.666666666666666,1.1111111111111114,8.333333333333334,7.333333333333334,255-269-273,-5.002206482366073,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1864,255,269,275,-1,1,1,FALSE,0.35357191358024687,0.35357191358024687,10,1,9,8,255-269-275,-5.029438133798392,TRUE,1869,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1865,245,255,300,1,-1,1,FALSE,0.355467670847394,0.28853076216712586,9.666666666666666,7,8,7,245-255-300,-3.5890022307455927,TRUE,1870,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1865,255,280,300,-1,1,1,FALSE,0.355467670847394,0.28853076216712586,9.666666666666666,7,8,7,255-280-300,-4.59164959349629,TRUE,1870,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1865,255,275,300,-1,1,1,FALSE,0.355467670847394,0.28853076216712586,9.666666666666666,7,8,7,255-275-300,-4.230165477276647,TRUE,1870,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1865,255,267,300,-1,1,1,FALSE,0.355467670847394,0.28853076216712586,9.666666666666666,7,8,7,255-267-300,-4.187667060677306,TRUE,1870,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1865,255,271,300,-1,1,1,FALSE,0.355467670847394,0.28853076216712586,9.666666666666666,7,8,7,255-271-300,-4.106128538532078,TRUE,1870,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1865,255,273,300,-1,1,1,FALSE,0.355467670847394,0.28853076216712586,9.666666666666666,7,8,7,255-273-300,-4.206888293260432,TRUE,1870,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1866,220,300,325,-1,1,1,FALSE,0.2739712191358025,0.24970000000000003,8.333333333333334,46.59259259259259,3.3333333333333335,2.3333333333333335,220-300-325,-2.689769492972369,NA,1871,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1870,200,220,255,-1,1,1,FALSE,0.32214843749999994,0.2923611111111111,6.333333333333333,15.666666666666666,2.3333333333333335,1.3333333333333335,200-220-255,-1.9082166940220675,NA,1875,NA,dissolved,FALSE,pre-1945,0.16983169805331233,0.13320129069937184,0.03912872987324348,0.11405390620864254
1876,200,300,365,1,-1,1,FALSE,0.4693287037037037,0.3125,4.666666666666667,4,2,1,200-300-365,-2.286331170221695,NA,1881,NA,dissolved,FALSE,pre-1945,0.00671453292311416,0.12463876747678476,0.06901912567561465,0.06679080869183786
1876,200,365,640,-1,-1,-1,FALSE,0.5303819444444445,0.3125,4,4,1.3333333333333333,0.33333333333333326,200-365-640,-2.2828964593872465,NA,1881,NA,dissolved,FALSE,pre-1945,0.12463876747678476,0.06044100593504834,0.07361083834544933,0.08623020391909414
1888,200,255,325,-1,1,1,FALSE,0.3582275817860528,0.2986111111111111,6.333333333333333,8.555555555555555,3,2,200-255-325,-2.3073895676968337,NA,1893,NA,dissolved,FALSE,pre-1945,0.11316836823633722,0.0597925014809007,0.06957063978627279,0.08084383650117023
1888,200,255,300,1,-1,1,FALSE,0.3260013188949049,0.2986111111111111,6.666666666666667,10.888888888888888,3,2,200-255-300,-2.2715668434390555,NA,1893,NA,dissolved,FALSE,pre-1945,0.11316836823633722,0.00862469283117496,0,0.04059768702250406
1890,200,300,325,1,1,-1,FALSE,0.3905557613168724,0.30006944444444444,5,9.666666666666666,2,1,200-300-325,-2.694885881851918,TRUE,1895,TRUE,flipped,FALSE,pre-1945,0.02001778412748814,0.04389687513874985,0.09196861363243668,0.051961090966224886
1896,200,220,350,-1,-1,-1,FALSE,0.3093301209372638,0.2676431405895691,5.666666666666667,11.333333333333334,2,1,200-220-350,-3.426586726777949,NA,1901,NA,dissolved,FALSE,pre-1945,0.14383224283360763,NA,NA,0.14383224283360763
1897,200,350,640,-1,-1,-1,FALSE,0.3387128576970386,0.23274649365919206,7.666666666666667,3.6666666666666665,5.333333333333333,4.333333333333333,200-350-640,-3.892886730456633,NA,1902,NA,dissolved,FALSE,pre-1945,NA,0.07924337128520657,NA,0.07924337128520657
1897,200,350,365,-1,-1,-1,FALSE,0.3084565905181254,0.23274649365919206,7.333333333333333,7.981481481481481,3.6666666666666665,2.6666666666666665,200-350-365,-3.3967225858612293,NA,1902,NA,dissolved,FALSE,pre-1945,NA,0.10655373395694054,NA,0.10655373395694054
1897,200,365,640,-1,-1,-1,FALSE,0.3084565905181254,0.23274649365919206,7.333333333333333,7.981481481481481,3.6666666666666665,2.6666666666666665,200-365-640,-2.5821352205674932,NA,1902,NA,dissolved,FALSE,pre-1945,0.10655373395694054,0.07924337128520657,0.02739509576286115,0.07106406700166942
1897,200,220,640,-1,-1,-1,FALSE,0.37683373561484723,0.23274649365919206,6.666666666666667,4.152777777777778,3.6666666666666665,2.6666666666666665,200-220-640,-2.652819658580926,NA,1902,NA,dissolved,FALSE,pre-1945,0.1574558114935226,0.07924337128520657,0.05872857759626399,0.09847592012499773
1897,350,365,640,-1,-1,-1,FALSE,0.3614397725370487,0.3009272381792223,6.666666666666667,3.7777777777777772,4,3,350-365-640,-4.037449889734606,NA,1902,NA,dissolved,FALSE,pre-1945,NA,NA,0.02739509576286115,0.02739509576286115
1897,220,350,640,-1,-1,-1,FALSE,0.4298169176337705,0.3916960397159619,6,2.027777777777778,4,3,220-350-640,-4.108134327748038,NA,1902,NA,dissolved,FALSE,pre-1945,NA,0.05872857759626399,NA,0.05872857759626399
1897,255,350,640,-1,-1,-1,FALSE,0.3862566694604271,0.37537792894935745,6.666666666666667,3.2314814814814814,4,3,255-350-640,-3.968343232462697,NA,1902,NA,dissolved,FALSE,pre-1945,NA,0.00587247878197969,NA,0.00587247878197969
1897,300,350,640,-1,-1,-1,FALSE,0.4066210909491872,0.3916960397159619,6.666666666666667,2.1203703703703702,4.666666666666667,3.666666666666667,300-350-640,-4.316402393740084,NA,1902,NA,dissolved,FALSE,pre-1945,NA,0.02709921268462234,NA,0.02709921268462234
1897,325,350,640,-1,-1,-1,FALSE,0.4066210909491872,0.3916960397159619,6.666666666666667,2.1203703703703702,4.666666666666667,3.666666666666667,325-350-640,-4.453260090097036,NA,1902,NA,dissolved,FALSE,pre-1945,NA,0.03538065762853137,NA,0.03538065762853137
1898,200,220,710,-1,-1,-1,FALSE,0.4625436980347694,0.22987528344671196,4.666666666666667,13.666666666666666,2,1,200-220-710,-2.1466593875043807,NA,1903,NA,dissolved,FALSE,pre-1945,0.1484539838456185,0.03971621440401701,0,0.06272339941654517
1898,220,365,710,1,1,-1,FALSE,0.5447963907785335,0.47663336167800446,3.6666666666666665,6.666666666666667,2,1,220-365-710,-2.288768293114744,NA,1903,NA,dissolved,FALSE,pre-1945,0.06610699377664632,0,0.03010104586046072,0.03206934654570234
