year,triad_id,balanced,actor_load_mean,tie_btw_mean,tie_emb_mean,triad_log_cinc_mean,prev_year,prev_balanced,is_onset,spell_id_local,spell_id,t1,event,is_terminal_row,row_event,z_actor_load,z_tie_btw,z_tie_emb,z_cinc,era,event_dissolve,event_flip
1982,100-101-150,FALSE,0.12547831666631967,1.8888888888888886,28,-6.323469427487692,1981,TRUE,TRUE,1,100-101-150_S1,1982,flipped,TRUE,flipped,-0.658927104157609,-0.5322415441626295,0.9601797284892816,0.006360610937174117,1945-1989,0,1
1987,100-101-150,FALSE,0.12705535741502813,1,29,-6.310822226632296,1986,TRUE,TRUE,2,100-101-150_S2,1988,flipped,FALSE,continues,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.01481511130244632,1945-1989,0,0
1988,100-101-150,FALSE,0.12705535741502813,1,29,-6.311645448164679,1987,FALSE,FALSE,2,100-101-150_S2,1988,flipped,TRUE,flipped,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.014264797693465902,1945-1989,0,1
1994,100-101-150,FALSE,0.1146704384053689,1,32,-6.151148933866959,1993,TRUE,TRUE,3,100-101-150_S3,1995,flipped,FALSE,continues,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,0.12155477072936369,post-1989,0,0
1995,100-101-150,FALSE,0.11500797867443287,1,32,-6.1259197412805175,1994,FALSE,FALSE,3,100-101-150_S3,1995,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.13842017995124622,post-1989,0,1
1997,100-101-150,FALSE,0.11500797867443287,1,32,-6.0876120306065005,1996,TRUE,TRUE,4,100-101-150_S4,1997,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.16402841987637118,post-1989,0,1
2000,100-101-150,FALSE,0.11462239730844685,1,32,-6.06619305355959,1999,TRUE,TRUE,5,100-101-150_S5,2000,flipped,TRUE,flipped,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,0.17834674622679086,post-1989,0,1
2003,100-101-150,FALSE,0.11476740687100999,1,32,-6.030884027439424,2002,TRUE,TRUE,6,100-101-150_S6,2003,flipped,TRUE,flipped,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,0.20195040190076438,post-1989,0,1
2006,100-101-150,FALSE,0.11490357687453194,1,32,-6.041220409200546,2005,TRUE,TRUE,7,100-101-150_S7,2006,flipped,TRUE,flipped,-0.8066984037101239,-0.5537596743545242,1.4148164200442492,0.195040656070507,post-1989,0,1
2008,100-101-150,FALSE,0.11483313371520337,1,32,-5.988445197934218,2007,TRUE,TRUE,8,100-101-150_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.23032024465537024,post-1989,0,0
