year,ccode_low,ccode_high,sign,multiplex
1833,200,640,-1,FALSE
1833,210,211,-1,FALSE
1833,210,220,-1,FALSE
1833,211,255,-1,FALSE
1833,220,255,-1,FALSE
1833,220,365,-1,FALSE
1833,220,640,-1,FALSE
1833,245,255,1,FALSE
1833,245,267,1,FALSE
1833,245,269,1,FALSE
1833,245,271,1,FALSE
1833,245,273,1,FALSE
1833,245,275,1,FALSE
1833,245,300,1,FALSE
1833,255,267,1,FALSE
1833,255,269,1,FALSE
1833,255,271,1,FALSE
1833,255,273,1,FALSE
1833,255,275,1,FALSE
1833,255,300,1,FALSE
1833,255,365,1,FALSE
1833,267,269,1,FALSE
1833,267,271,1,FALSE
1833,267,273,1,FALSE
1833,267,275,1,FALSE
1833,267,300,1,FALSE
1833,269,271,1,FALSE
1833,269,273,1,FALSE
1833,269,275,1,FALSE
1833,269,300,1,FALSE
1833,271,273,1,FALSE
1833,271,275,1,FALSE
1833,271,300,1,FALSE
1833,273,275,1,FALSE
1833,273,300,1,FALSE
1833,275,300,1,FALSE
1833,300,325,1,FALSE
1833,300,337,1,FALSE
1833,300,365,1,FALSE
1833,325,329,1,FALSE
1833,365,640,1,FALSE
1834,2,100,-1,FALSE
1834,200,220,1,FALSE
1834,200,230,1,FALSE
1834,200,235,1,FALSE
1834,200,380,1,FALSE
1834,220,230,1,FALSE
1834,220,235,1,FALSE
1834,230,235,1,FALSE
1834,245,255,1,FALSE
1834,245,267,1,FALSE
1834,245,269,1,FALSE
1834,245,271,1,FALSE
1834,245,273,1,FALSE
1834,245,275,1,FALSE
1834,245,300,1,FALSE
1834,255,267,1,FALSE
1834,255,269,1,FALSE
1834,255,271,1,FALSE
1834,255,273,1,FALSE
1834,255,275,1,FALSE
1834,255,300,1,FALSE
1834,255,365,1,FALSE
1834,267,269,1,FALSE
1834,267,271,1,FALSE
1834,267,273,1,FALSE
1834,267,275,1,FALSE
1834,267,300,1,FALSE
1834,269,271,1,FALSE
1834,269,273,1,FALSE
1834,269,275,1,FALSE
1834,269,300,1,FALSE
1834,271,273,1,FALSE
1834,271,275,1,FALSE
1834,271,300,1,FALSE
1834,273,275,1,FALSE
1834,273,300,1,FALSE
1834,275,300,1,FALSE
1834,300,325,1,FALSE
1834,300,337,1,FALSE
1834,300,365,1,FALSE
1834,325,329,1,FALSE
1834,365,640,1,FALSE
1835,2,220,-1,FALSE
1835,200,220,1,FALSE
1835,200,230,1,FALSE
1835,200,235,1,FALSE
1835,200,380,1,FALSE
1835,220,230,1,FALSE
1835,220,235,1,FALSE
1835,230,235,1,FALSE
1835,245,255,1,FALSE
1835,245,267,1,FALSE
